datetime,uid,date,day_slot,is_randomized,avail,send,returned_message,response,activity,location,weather,temperature,jbsteps30pre,study_day,is_weekday
2015-07-24 21:30:00,1,2015-07-24,4,True,True,1,Have you been sitting all day If you can try not to sit all night too Maybe tackle some active housework like cooking or vacuuming,no_response,STILL,Home,Clear,temp_hot,930.0,3,True
2015-07-24 23:30:00,1,2015-07-24,5,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_hot,1326.0,3,True
2015-07-25 09:30:00,1,2015-07-25,1,True,True,1,How can you be active this weekend How about trying out a new sport or checking out the farmers market,bad,STILL,Home,Clear,temp_mild,0.0,4,False
2015-07-25 16:30:00,1,2015-07-25,2,True,True,1,Remember to spend time with friends loved ones who might want to join you for a walk right now,good,STILL,Transit,PartlyCloudy,temp_hot,55.0,4,False
2015-07-25 18:30:00,1,2015-07-25,3,True,True,1,What can you do to increase your activity level right now Stand up Stretch Take a walk Go for a run,no_response,STILL,ClothingStore,PartlyCloudy,temp_hot,1270.0,4,False
2015-07-25 21:30:00,1,2015-07-25,4,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_hot,245.0,4,False
2015-07-25 23:30:00,1,2015-07-25,5,True,False,0,donotnotify,no_send,ON_MOVE,Transit,Clear,temp_hot,353.0,4,False
2015-07-26 09:30:00,1,2015-07-26,1,True,True,1,If you take a brisk walk now how will you feel for the rest of the day Spoiler alert More energized,bad,STILL,Home,PartlyCloudy,temp_mild,0.0,5,False
2015-07-26 16:30:00,1,2015-07-26,2,True,True,1,Who lucked out got great weekend weather Not you Well maybe you could fit in a 10minute walk anyway,bad,STILL,Home,Clear,temp_hot,1484.0,5,False
2015-07-26 18:30:00,1,2015-07-26,3,True,True,2,Dont forget to stretch at the weekend too Reach high then to the front then to the ground feel the tension release,no_response,STILL,Home,Clear,temp_hot,863.0,5,False
2015-07-26 21:30:00,1,2015-07-26,4,True,True,1,From raking leaves to mowing the lawn yard work is a great form of exercise Spend 10 minutes outside any weeds to be pulled,good,STILL,Home,PartlyCloudy,temp_hot,1011.0,5,False
2015-07-26 23:30:00,1,2015-07-26,5,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_hot,225.0,5,False
2015-07-27 09:30:00,1,2015-07-27,1,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_cool,0.0,6,True
2015-07-27 16:30:00,1,2015-07-27,2,False,True,0,donotnotify,no_send,STILL,Work,Clear,temp_hot,24.0,6,True
2015-07-27 18:30:00,1,2015-07-27,3,True,True,2,Hey you Have you been sitting for a while Can you take a 5 minute walking break,good,STILL,Work,Clear,temp_hot,0.0,6,True
2015-07-27 21:30:00,1,2015-07-27,4,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_hot,81.0,6,True
2015-07-27 23:30:00,1,2015-07-27,5,True,False,0,donotnotify,no_send,ON_MOVE,Restaurant,Clear,temp_hot,2510.0,6,True
2015-07-28 09:30:00,1,2015-07-28,1,True,True,2,Quick lets stretch Stand up reeeeach for the sky reeeeach for your toes and repeat Feels good doesnt it,bad,STILL,Home,PartlyCloudy,temp_cool,0.0,7,True
2015-07-28 16:30:00,1,2015-07-28,2,True,True,1,Why not use your lunch hour to walk to your favorite healthy lunch spot,good,STILL,Work,Clear,temp_hot,66.0,7,True
2015-07-28 18:30:00,1,2015-07-28,3,True,True,1,Have you been staring at a screen all day Give your eyes a break by walking a lap around this floor of your office building,good,STILL,Work,Clear,temp_hot,0.0,7,True
2015-07-28 21:30:00,1,2015-07-28,4,True,True,2,Tonight why not try a few stretches or yoga poses You can find beginner poses online might we suggest Childs Pose,no_response,STILL,Home,PartlyCloudy,temp_hot,249.0,7,True
2015-07-28 23:30:00,1,2015-07-28,5,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_hot,2508.0,7,True
2015-07-29 10:30:00,1,2015-07-29,1,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_mild,0.0,8,True
2015-07-29 16:30:00,1,2015-07-29,2,True,True,2,Quick lets stretch Stand up reeeeach for the sky reeeeach for your toes and repeat Feels good doesnt it,good,STILL,Work,Clear,temp_hot,0.0,8,True
2015-07-29 18:30:00,1,2015-07-29,3,True,True,2,Time for a few light stretches Start at your head work all the way down to your toes It will energize you for the rest of the work day,good,STILL,Work,MostlyCloudy,temp_hot,276.0,8,True
2015-07-29 21:30:00,1,2015-07-29,4,True,True,2,Sometimes your body talks sometimes your body screams What does it need right now Maybe a few minutes of stretching,good,STILL,Home,Overcast,temp_hot,265.0,8,True
2015-07-29 23:30:00,1,2015-07-29,5,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_hot,1254.0,8,True
2015-07-30 10:30:00,1,2015-07-30,1,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_mild,0.0,9,True
2015-07-30 16:30:00,1,2015-07-30,2,True,True,1,Intraoffice communication is important How about walking to a coworkers desk asking for some workrelated advice,good,STILL,Work,Clear,temp_warm,300.0,9,True
2015-07-30 18:30:00,1,2015-07-30,3,True,True,2,A lowerleg exercise you can do at your desk rotate your right foot clockwise 15 times then counterclockwise Repeat with left foot,good,STILL,Work,Clear,temp_hot,2773.0,9,True
2015-07-30 21:30:00,1,2015-07-30,4,True,True,2,Sometimes your body talks sometimes your body screams What does it need right now Maybe a few minutes of stretching,bad,STILL,Restaurant,Clear,temp_hot,1355.0,9,True
2015-07-30 23:30:00,1,2015-07-30,5,True,True,2,Tonight why not try a few stretches or yoga poses You can find beginner poses online might we suggest Childs Pose,no_response,STILL,Home,Clear,temp_hot,159.0,9,True
2015-07-31 10:30:00,1,2015-07-31,1,True,True,1,The weather is beautiful Dont believe us Well head outside see for yourself,good,STILL,Home,Clear,temp_mild,0.0,10,True
2015-07-31 16:30:00,1,2015-07-31,2,False,False,0,donotnotify,no_send,ON_MOVE,Transit,Clear,temp_warm,451.0,10,True
2015-07-31 18:30:00,1,2015-07-31,3,True,True,1,Be selfishtake a walk When youre exercising theres truly nothing better you can be doing for yourself,no_response,STILL,Home,MostlyCloudy,temp_hot,1444.0,10,True
2015-07-31 21:30:00,1,2015-07-31,4,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_hot,2267.0,10,True
2015-07-31 23:30:00,1,2015-07-31,5,True,True,1,What healthy treat could you make today How about a cup of tea or coffee You could do squats or jumping jacks while the water heats up,no_response,STILL,Home,Clear,temp_warm,1510.0,10,True
2015-08-01 10:30:00,1,2015-08-01,1,True,True,1,Mornings are so full of possibility How about a walk around the neighborhood before you start your day,bad,STILL,Home,Clear,temp_cool,0.0,11,False
2015-08-01 16:30:00,1,2015-08-01,2,True,True,1,30min of walking can have many health benefits including reducing the risk of osteoporosis some cancers How about 15min now 15min later,no_response,STILL,Home,Clear,temp_hot,595.0,11,False
2015-08-01 18:30:00,1,2015-08-01,3,False,True,0,donotnotify,no_send,STILL,Store,MostlyCloudy,temp_hot,454.0,11,False
2015-08-01 21:30:00,1,2015-08-01,4,True,True,1,Planning to watch TV tonight Taking a walk even 5 minutes before the show will help you relax unwind,no_response,STILL,Store,Clear,temp_hot,490.0,11,False
2015-08-01 23:30:00,1,2015-08-01,5,True,True,1,Its a great evening for a walk How about going for a stroll,no_response,STILL,FurnitureStore,Clear,temp_warm,20.0,11,False
2015-08-02 10:30:00,1,2015-08-02,1,True,True,1,Hey youre pretty tough Do you think you can take a brisk 15min walk before heading to work to rev up your body for the day,bad,STILL,Home,Clear,temp_cool,0.0,12,False
2015-08-02 16:30:00,1,2015-08-02,2,True,True,2,Wheres the most beautiful spot in your town Could you walk or bike there Or drive but then get out of your car explore,no_response,STILL,Home,Clear,temp_hot,858.0,12,False
2015-08-02 18:30:00,1,2015-08-02,3,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_hot,431.0,12,False
2015-08-02 21:30:00,1,2015-08-02,4,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_hot,759.0,12,False
2015-08-02 23:30:00,1,2015-08-02,5,True,True,2,What about hiding the remote tonight Adjusting the channel and volume manually keep you moving just a bit while you relax,no_response,STILL,Home,Clear,temp_hot,305.0,12,False
2015-08-03 10:30:00,1,2015-08-03,1,True,True,2,Hey you Have you been sitting for a while Can you take a 5 minute walking break,bad,STILL,Home,Overcast,temp_mild,27.0,13,True
2015-08-03 16:30:00,1,2015-08-03,2,True,True,1,What would it take for you to get a 1520 minute walk in this afternoon How could you make that happen,good,STILL,Work,Clear,temp_warm,19.0,13,True
2015-08-03 18:30:00,1,2015-08-03,3,True,True,1,The office can be stuffy Could you go for a walk to get some fresh air,no_response,STILL,Work,Clear,temp_warm,294.0,13,True
2015-08-03 21:30:00,1,2015-08-03,4,True,True,1,Dont forget that household activities increase your step count too Can you clean out a closet or rearrange a room tonight,good,STILL,Home,Clear,temp_warm,974.0,13,True
2015-08-03 23:30:00,1,2015-08-03,5,True,True,1,Some fresh evening air is a great way to unwind after a long day Are you up for a brisk walk,no_response,STILL,Restaurant,Clear,temp_warm,0.0,13,True
2015-08-04 10:30:00,1,2015-08-04,1,True,True,2,Dont forget to stretch at the weekend too Reach high then to the front then to the ground feel the tension release,good,STILL,Home,PartlyCloudy,temp_cool,0.0,14,True
2015-08-04 16:30:00,1,2015-08-04,2,False,True,0,donotnotify,no_send,STILL,Work,Clear,temp_warm,216.0,14,True
2015-08-04 18:30:00,1,2015-08-04,3,False,True,0,donotnotify,no_send,STILL,Work,PartlyCloudy,temp_warm,15.0,14,True
2015-08-04 21:30:00,1,2015-08-04,4,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_cold,346.0,14,True
2015-08-04 23:30:00,1,2015-08-04,5,True,False,0,donotnotify,no_send,ON_MOVE,FurnitureStore,PartlyCloudy,temp_warm,491.0,14,True
2015-08-05 10:30:00,1,2015-08-05,1,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_cool,0.0,15,True
2015-08-05 16:30:00,1,2015-08-05,2,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_warm,686.0,15,True
2015-08-05 18:30:00,1,2015-08-05,3,True,True,2,Sometimes your body talks sometimes your body screams What does it need right now Maybe a few minutes of stretching,no_response,STILL,Home,Clear,temp_hot,589.0,15,True
2015-08-05 21:30:00,1,2015-08-05,4,False,True,0,donotnotify,no_send,STILL,Home,MostlyCloudy,temp_warm,60.0,15,True
2015-08-05 23:30:00,1,2015-08-05,5,False,True,0,donotnotify,no_send,STILL,ClothingStore,Overcast,temp_warm,619.0,15,True
2015-08-06 10:30:00,1,2015-08-06,1,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_cool,0.0,16,True
2015-08-06 16:30:00,1,2015-08-06,2,True,True,1,Is now a good time for a stroll through the office Maybe say hello to your colleague at the far end that you rarely see anymore,good,STILL,Work,Clear,temp_warm,137.0,16,True
2015-08-06 18:30:00,1,2015-08-06,3,False,True,0,donotnotify,no_send,STILL,Work,PartlyCloudy,temp_warm,396.0,16,True
2015-08-06 21:30:00,1,2015-08-06,4,True,True,2,Dont forget to stretch at the weekend too Reach high then to the front then to the ground feel the tension release,bad,STILL,Home,PartlyCloudy,temp_warm,396.0,16,True
2015-08-06 23:30:00,1,2015-08-06,5,True,True,2,Hey you Have you been sitting for a while Can you take a 5 minute walking break,good,STILL,FurnitureStore,PartlyCloudy,temp_mild,365.0,16,True
2015-08-07 10:30:00,1,2015-08-07,1,True,True,2,Good morning When you get to work how about going for a 510 minute walk before settling in at your desk,good,STILL,Home,PartlyCloudy,temp_cool,207.0,17,True
2015-08-07 16:30:00,1,2015-08-07,2,True,True,1,Afternoons are great for walks How will you feel if you take a short break to clear your head,bad,STILL,Work,Clear,temp_warm,748.0,17,True
2015-08-07 18:30:00,1,2015-08-07,3,True,True,1,How about taking a few minutes to enjoy nature Head outside walk until you see a wild animal even if its just a squirrel,bad,STILL,Work,PartlyCloudy,temp_warm,608.0,17,True
2015-08-07 21:30:00,1,2015-08-07,4,True,True,2,Quick look at the clock If the minute ends in an odd number try to remain standing for the next 5 minutes,bad,STILL,Home,MostlyCloudy,temp_warm,98.0,17,True
2015-08-07 23:30:00,1,2015-08-07,5,True,True,1,How do you feel on days you dont walk What could you do to fit in a walk even 510 minutes tonight,no_response,STILL,Restaurant,Overcast,temp_warm,92.0,17,True
2015-08-08 10:30:00,1,2015-08-08,1,False,True,0,donotnotify,no_send,STILL,Home,Overcast,temp_mild,0.0,18,False
2015-08-08 16:30:00,1,2015-08-08,2,True,True,1,How about doing 100 jumping jacks tonight They dont have to be all at once Start with 25 now do more throughout the day,no_response,STILL,Home,Overcast,temp_warm,1051.0,18,False
2015-08-08 18:30:00,1,2015-08-08,3,True,True,2,Hows your energy level this afternoon A 1015 minute walk can enliven your body,no_response,STILL,Home,Overcast,temp_warm,1189.0,18,False
2015-08-08 21:30:00,1,2015-08-08,4,True,True,2,Feeling stiff Try standing up reaching down to touch your toes It might look silly but we bet it feels good,good,STILL,Home,Overcast,temp_warm,750.0,18,False
2015-08-08 23:30:00,1,2015-08-08,5,False,True,0,donotnotify,no_send,STILL,Home,Overcast,temp_warm,351.0,18,False
2015-08-09 10:30:00,1,2015-08-09,1,True,True,1,Hey youre pretty tough Do you think you can take a brisk 15min walk before heading to work to rev up your body for the day,bad,STILL,Home,Overcast,temp_mild,0.0,19,False
2015-08-09 16:30:00,1,2015-08-09,2,False,True,0,donotnotify,no_send,STILL,FurnitureStore,Overcast,temp_warm,29.0,19,False
2015-08-09 18:30:00,1,2015-08-09,3,True,True,2,Quick look at the clock If the minute ends in an odd number try to remain standing for the next 5 minutes,no_response,STILL,Restaurant,Overcast,temp_hot,369.0,19,False
2015-08-09 21:30:00,1,2015-08-09,4,True,True,1,How about taking a few minutes to enjoy nature Head outside walk until you see a wild animal even if its just a squirrel,no_response,STILL,Home,PartlyCloudy,temp_warm,273.0,19,False
2015-08-09 23:30:00,1,2015-08-09,5,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_warm,218.0,19,False
2015-08-10 10:30:00,1,2015-08-10,1,True,True,1,A short jaunt through the neighborhood this morning would be a great way to start the day Can you make it happen,bad,STILL,Home,Overcast,temp_mild,0.0,20,True
2015-08-10 16:30:00,1,2015-08-10,2,True,True,2,Quick look at the clock If the hour is odd do that many toetouches stand reach to ceiling reach to toes repeat,good,STILL,Work,Overcast,temp_warm,710.0,20,True
2015-08-10 18:30:00,1,2015-08-10,3,False,True,0,donotnotify,no_send,STILL,Work,Rain,temp_warm,0.0,20,True
2015-08-10 21:30:00,1,2015-08-10,4,False,True,0,donotnotify,no_send,STILL,Home,Overcast,temp_warm,401.0,20,True
2015-08-10 23:30:00,1,2015-08-10,5,False,True,0,donotnotify,no_send,STILL,Home,Overcast,temp_warm,1130.0,20,True
2015-08-11 10:30:00,1,2015-08-11,1,True,True,1,Hey youre pretty tough Do you think you can take a brisk 15min walk before heading to work to rev up your body for the day,bad,STILL,Home,Overcast,temp_mild,0.0,21,True
2015-08-11 16:30:00,1,2015-08-11,2,False,True,0,donotnotify,no_send,STILL,Work,Clear,temp_warm,206.0,21,True
2015-08-11 18:30:00,1,2015-08-11,3,True,True,1,You know that new coffee shop by your office youve been meaning to try Why not walk there now grab a drink,bad,STILL,Work,PartlyCloudy,temp_warm,0.0,21,True
2015-08-11 21:30:00,1,2015-08-11,4,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_hot,489.0,21,True
2015-08-11 23:30:00,1,2015-08-11,5,False,True,0,donotnotify,no_send,STILL,GroceryStore,PartlyCloudy,temp_warm,0.0,21,True
2015-09-01 10:30:00,1,2015-09-01,1,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_cool,0.0,42,True
2015-09-01 16:30:00,1,2015-09-01,2,True,True,2,Pamper your body a bit Try standing up and stretching your legs arms and neck Feels good doesnt it,good,STILL,University,Clear,temp_hot,45.0,42,True
2015-09-01 18:30:00,1,2015-09-01,3,True,True,2,Hey you Have you been sitting for a while Can you take a 5 minute walking break,no_response,STILL,University,MostlyCloudy,temp_hot,454.0,42,True
2015-09-01 21:30:00,1,2015-09-01,4,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_hot,24.0,42,True
2015-09-01 23:30:00,1,2015-09-01,5,True,True,2,Sometimes your body talks sometimes your body screams What does it need right now Maybe a few minutes of stretching,no_response,STILL,Restaurant,Clear,temp_warm,99.0,42,True
2015-09-02 10:30:00,1,2015-09-02,1,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_mild,0.0,43,True
2015-09-02 16:30:00,1,2015-09-02,2,False,True,0,donotnotify,no_send,STILL,Work,PartlyCloudy,temp_warm,245.0,43,True
2015-09-02 18:30:00,1,2015-09-02,3,True,True,2,What a great afternoon How about taking a walk around the block for some fresh air,good,STILL,Work,Clear,temp_hot,83.0,43,True
2015-09-02 21:30:00,1,2015-09-02,4,True,True,2,Enjoying a night in You deserve it Take care of mind body by taking a break to stretch every half hour,no_response,STILL,Home,PartlyCloudy,temp_hot,125.0,43,True
2015-09-02 23:30:00,1,2015-09-02,5,True,True,1,Your body is an awesome invention How about expressing your gratitude with 10 minutes of walking tonight,no_response,STILL,Restaurant,Clear,temp_hot,83.0,43,True
2015-09-03 10:30:00,1,2015-09-03,1,True,True,1,How about taking a few minutes to enjoy nature Head outside walk until you see a wild animal even if its just a squirrel,good,STILL,Home,Clear,temp_mild,0.0,44,True
2015-09-03 16:30:00,1,2015-09-03,2,True,True,2,Sometimes the best stretches are the simplest For a fullbody stretch stand up plant your feet reach your arms up back,good,STILL,Work,Clear,temp_hot,276.0,44,True
2015-09-03 18:30:00,1,2015-09-03,3,False,True,0,donotnotify,no_send,STILL,Work,Clear,temp_hot,149.0,44,True
2015-09-03 21:30:00,1,2015-09-03,4,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_warm,168.0,44,True
2015-09-03 23:30:00,1,2015-09-03,5,True,True,1,Bad day Good day Either waywe bet youll feel better after a 1015 minute walk Where can you head right now,no_response,STILL,Restaurant,Rain,temp_mild,0.0,44,True
2015-09-04 10:30:00,1,2015-09-04,1,True,True,1,Its a biological fact sunlight invigorates the body Can you wake up your senses with a 15 minute walk today,good,STILL,Home,MostlyCloudy,temp_mild,0.0,45,True
2015-09-04 16:30:00,1,2015-09-04,2,False,True,0,donotnotify,no_send,STILL,Work,MostlyCloudy,temp_cold,19.0,45,True
2015-09-04 18:30:00,1,2015-09-04,3,True,True,1,How do your legs feel Bet theyd love a walk outside How about stretching them out with 1000 steps,good,STILL,ClothingStore,MostlyCloudy,temp_warm,0.0,45,True
2015-09-04 21:30:00,1,2015-09-04,4,True,True,1,If you take a brisk walk now how will you feel for the rest of the day Spoiler alert More energized,no_response,STILL,FurnitureStore,PartlyCloudy,temp_warm,136.0,45,True
2015-09-04 23:30:00,1,2015-09-04,5,False,True,0,donotnotify,no_send,STILL,University,PartlyCloudy,temp_warm,635.0,45,True
2015-09-05 10:30:00,1,2015-09-05,1,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_mild,0.0,46,False
2015-09-05 16:30:00,1,2015-09-05,2,False,True,0,donotnotify,no_send,STILL,Home,Rain,temp_mild,311.0,46,False
2015-09-05 18:30:00,1,2015-09-05,3,True,True,2,Sometimes the best stretches are the simplest For a fullbody stretch stand up plant your feet reach your arms up back,no_response,STILL,Home,Overcast,temp_warm,556.0,46,False
2015-09-05 21:30:00,1,2015-09-05,4,True,False,0,donotnotify,no_send,ON_MOVE,Restaurant,Clear,temp_warm,127.0,46,False
2015-09-05 23:30:00,1,2015-09-05,5,True,True,2,Sometimes the best stretches are the simplest For a fullbody stretch stand up plant your feet reach your arms up back,good,STILL,Restaurant,Clear,temp_warm,161.0,46,False
2015-09-06 10:30:00,1,2015-09-06,1,False,True,0,donotnotify,no_send,STILL,Restaurant,Clear,temp_mild,0.0,47,False
2015-09-06 16:30:00,1,2015-09-06,2,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_hot,0.0,47,False
2015-09-06 18:30:00,1,2015-09-06,3,True,True,2,What a great afternoon How about taking a walk around the block for some fresh air,no_response,STILL,Home,Clear,temp_hot,343.0,47,False
2015-09-06 21:30:00,1,2015-09-06,4,True,True,1,Happy Tired Anxious Whatever your mood we bet a short stroll this evening can improve it,good,STILL,Home,Clear,temp_hot,264.0,47,False
2015-09-06 23:30:00,1,2015-09-06,5,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_hot,183.0,47,False
2015-09-07 16:30:00,1,2015-09-07,2,True,True,1,Your body is awesome How about expressing your gratitude with a 30 minute walk today,no_response,STILL,Home,Clear,temp_hot,910.0,48,True
2015-09-07 18:30:00,1,2015-09-07,3,True,True,2,Quick look at the clock If the minute ends in an odd number try to remain standing for the next 5 minutes,no_response,STILL,Home,Clear,temp_hot,75.0,48,True
2015-09-07 21:30:00,1,2015-09-07,4,False,True,0,donotnotify,no_send,STILL,Store,Clear,temp_hot,65.0,48,True
2015-09-07 23:30:00,1,2015-09-07,5,True,True,2,Just a reminder that you rock How about thanking your body for all that it does by standing up and giving it a big stretch,no_response,STILL,Store,PartlyCloudy,temp_warm,97.0,48,True
2015-09-08 10:30:00,1,2015-09-08,1,False,False,0,donotnotify,no_send,ON_MOVE,Restaurant,PartlyCloudy,temp_mild,0.0,49,True
2015-09-08 16:30:00,1,2015-09-08,2,False,True,0,donotnotify,no_send,STILL,Work,PartlyCloudy,temp_warm,146.0,49,True
2015-09-08 18:30:00,1,2015-09-08,3,False,True,0,donotnotify,no_send,STILL,Work,Clear,temp_hot,1549.0,49,True
2015-09-08 21:30:00,1,2015-09-08,4,True,True,1,Tonight what if you swap 30 minutes of TV for a 30min walk Or if your favorite show is on walk in place during commercials,no_response,STILL,Home,PartlyCloudy,temp_warm,128.0,49,True
2015-09-08 23:30:00,1,2015-09-08,5,True,True,1,Thomas Jefferson said Habituate yourself to walk very far We say it doesnt have to be farjust try to walk every day,no_response,STILL,FurnitureStore,PartlyCloudy,temp_hot,375.0,49,True
2015-09-09 10:30:00,1,2015-09-09,1,True,True,2,Hey you Have you been sitting for a while Can you take a 5 minute walking break,bad,STILL,Home,Overcast,temp_mild,0.0,50,True
2015-09-09 16:30:00,1,2015-09-09,2,True,True,2,A lowerleg exercise you can do at your desk rotate your right foot clockwise 15 times then counterclockwise Repeat with left foot,no_response,STILL,Work,MostlyCloudy,temp_warm,302.0,50,True
2015-09-09 18:30:00,1,2015-09-09,3,True,True,2,Just a reminder that you rock How about thanking your body for all that it does by standing up and giving it a big stretch,no_response,STILL,Work,MostlyCloudy,temp_warm,123.0,50,True
2015-09-09 21:30:00,1,2015-09-09,4,True,True,2,Feeling stiff Try standing up reaching down to touch your toes It might look silly but we bet it feels good,good,STILL,Home,PartlyCloudy,temp_warm,41.0,50,True
2015-09-09 23:30:00,1,2015-09-09,5,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_mild,0.0,50,True
2015-09-10 10:30:00,1,2015-09-10,1,True,True,1,Are your windows looking a bit grimy Grab a rag wipe in big circles to work your arms get those windows squeakyclean,bad,STILL,Home,Clear,temp_cool,0.0,51,True
2015-09-10 16:30:00,1,2015-09-10,2,True,True,2,Just a reminder that you rock How about thanking your body for all that it does by standing up and giving it a big stretch,no_response,STILL,Healthcare,Clear,temp_warm,156.0,51,True
2015-09-10 18:30:00,1,2015-09-10,3,True,True,1,Its a pretty great outside this afternoon How about a walk around the block to enjoy the fresh air,no_response,STILL,FurnitureStore,Clear,temp_warm,64.0,51,True
2015-09-10 21:30:00,1,2015-09-10,4,True,False,0,donotnotify,no_send,ON_MOVE,Park,Clear,temp_warm,74.0,51,True
2015-09-10 23:30:00,1,2015-09-10,5,True,True,2,What about hiding the remote tonight Adjusting the channel and volume manually keep you moving just a bit while you relax,no_response,STILL,Home,Clear,temp_warm,0.0,51,True
2015-09-11 10:30:00,1,2015-09-11,1,True,True,2,Dont forget to stretch at the weekend too Reach high then to the front then to the ground feel the tension release,no_response,STILL,Home,PartlyCloudy,temp_cool,0.0,52,True
2015-09-11 16:30:00,1,2015-09-11,2,False,False,0,donotnotify,no_send,STILL,Home,Rain,temp_mild,1.0,52,True
2015-09-11 18:30:00,1,2015-09-11,3,True,False,0,donotnotify,no_send,STILL,Home,Rain,temp_mild,0.0,52,True
2015-09-11 21:30:00,1,2015-09-11,4,True,True,1,The sky is blue and calling to you Will you answer it with a refreshing stroll,no_response,STILL,Home,Overcast,temp_mild,4.0,52,True
2015-09-11 23:30:00,1,2015-09-11,5,True,True,1,Strength is as important as physical activity Tonight could you find 5 core leg or arm exercises online to try,no_response,STILL,Home,Overcast,temp_mild,0.0,52,True
2015-09-12 10:30:00,1,2015-09-12,1,False,True,0,donotnotify,no_send,STILL,Home,PartlyCloudy,temp_cool,0.0,53,False
2015-09-12 16:30:00,1,2015-09-12,2,False,True,0,donotnotify,no_send,STILL,Restaurant,MostlyCloudy,temp_cool,33.0,53,False
2015-09-12 18:30:00,1,2015-09-12,3,False,True,0,donotnotify,no_send,STILL,Store,Overcast,temp_cool,5.0,53,False
2015-09-12 21:30:00,1,2015-09-12,4,False,False,0,donotnotify,no_send,ON_MOVE,Healthcare,Overcast,temp_cool,174.0,53,False
2015-09-12 23:30:00,1,2015-09-12,5,True,True,2,Sometimes your body talks sometimes your body screams What does it need right now Maybe a few minutes of stretching,no_response,STILL,Store,Overcast,temp_cool,0.0,53,False
2015-09-14 10:30:00,1,2015-09-14,1,False,True,0,donotnotify,no_send,STILL,Home,Clear,temp_cool,20.0,55,True
